2014",,,,,,,,,,,,"Elevación del nivel del agua (nsnm)
2015",,,,,,,,,,,,Generación MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Observación
,,,,,,,,,,,,,,,,,,,,,,,,,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,2002m1,2002m2,2002m3,2002m4,2002m5,2002m6,2002m7,2002m8,2002m9,2002m10,2002m11,2002m12,2003m1,2003m2,2003m3,2003m4,2003m5,2003m6,2003m7,2003m8,2003m9,2003m10,2003m11,2003m12,2004m1,2004m2,2004m3,2004m4,2004m5,2004m6,2004m7,2004m8,2004m9,2004m10,2004m11,2004m12,2005m1,2005m2,2005m3,2005m4,2005m5,2005m6,2005m7,2005m8,2005m9,2005m10,2005m11,2005m12,2006m1,2006m2,2006m3,2006m4,2006m5,2006m6,2006m7,2006m8,2006m9,2006m10,2006m11,2006m12,2007m1,2007m2,2007m3,2007m4,2007m5,2007m6,2007m7,2007m8,2007m9,2007m10,2007m11,2007m12,2008m1,2008m2,2008m3,2008m4,2008m5,2008m6,2008m7,2008m8,2008m9,2008m10,2008m11,2008m12,2009m1,2009m2,2009m3,2009m4,2009m5,2009m6,2009m7,2009m8,2009m9,2009m10,2009m11,2009m12,2010m1,2010m2,2010m3,2010m4,2010m5,2010m6,2010m7,2010m8,2010m9,2010m10,2010m11,2010m12,2011m1,2011m2,2011m3,2011m4,2011m5,2011m6,2011m7,2011m8,2011m9,2011m10,2011m11,2011m12,2012m1,2012m2,2012m3,2012m4,2012m5,2012m6,2012m7,2012m8,2012m9,2012m10,2012m11,2012m12,2013m1,2013m2,2013m3,2013m4,2013m5,2013m6,2013m7,2013m8,2013m9,2013m10,2013m11,2013m12,
Presidente Alemán,Temascal,6,354,0.47,18.23265,-96.41226,14Q,773536.63,2017127.2,Río Tonto,Río Tonto,Golfo Centro,Papaloapan,Oaxaca,San Miguel Soyaltepec,Oriental,76,Enrocamiento,Flexibletierra y/o enrocamiento,8119.09,,Generación eléctrica,Media Sísmisidad,CFE y CONAGUA,63.35,62.19,61.31,59.5,57.08,52.82,51.13,51.22,56.6,60.64,61.12,60.82,60.04,59,56.5,54.59,53.48,52.24,54.18,57.64,57.16,61.5,62.9,63.02,62.78,62.17,61,59.28,57.2,53,51.72,53.4,54.88,60.08,62.36,63.17,62.66,62.09,61.09,59.16,57.2,53.28,53.14,57.48,62.8,66.69,63.51,63.41,62.56,61.91,60.48,58.29,55.31,51.38,50.75,55.8,56.39,56.69,57.6,58.66,58.78,59.81,59.69,58.52,56.96,53.32,52.82,52.63,56.97,58.66,59.18,59.97,58.99,58.16,57.93,56.37,53.39,52.64,52.21,52.34,55.67,58.42,59.94,62.19,62.22,61.8,66.3,57,53.28,52.97,52.33,52.21,54.64,59.8,60.29,61.21,61.56,61.85,60.26,59.37,57.3,52.75,52.27,52.69,54.31,58.74,60.62,62.63,115365.5,100030.3,105129.1,165532.9,131498,94168.63,142035.4,162440.5,175445.6,145226.8,102736.8,80660.99,89405,52965,59939,71100,66495,51066,196846,68838,135909,105057,132070,40651,106333,95924,165137,156392,219892,215543,155007,60326,35111,33701,37678,40298,32314.41,29117.95,56792.4,162455.8,137768.1,77337.67,215172.4,203584,234330.5,136824.5,104240.7,110726.7,121366,155264.7,162987,118892.1,144746.4,74394.21,202224.2,217297.7,129206.9,53444.11,42844.19,115494,123802.5,112986.2,134158.7,147428.3,184295.6,80754.67,59623.5,35444.01,124769.7,81643.87,103075.1,104332.1,118671,144569.3,92541.26,45116,55277.9,105722.8,238366.7,210778.1,78494.17,74316.69,49396.92,45859.41,72916.76,142519.8,125224.3,124566.4,180547.3,87561.75,111284.1,97544.85,61190.75,64984.82,49793.14,94542.08,95867.81,109260.5,143856.5,134731,172650.5,74997.13,193166,242816.6,166204.2,243005,107323,97469.65,109034.6,122180.2,141905.5,140541.3,134550,40162.35,157580.9,223472.3,160368.7,62434.9,45529.38,49326.2,53305.34,53182.05,87679.21,117106.8,167339.4,150856.6,190368.1,213873.4,190103.3,187034.9,52835.98,91488.69,78073.21,53349.59,105066.7,136407.7,83272.72,147673.2,130258.6,134739.8,200024,107071.5,74011.68,63089.95,
Cupatitzio,Cupatitzio,2,80,0.65,19.34194,-102.08278,13Q,806508.79,2141249.51,Río Cupatitzio,Río Cupatitzio,Balsas,Balsas,Michoacán,Uruapán,Occidental,73.5,Materiales graduados ,Flexible tierra y/o enrocamiento,5.25,,Generación eléctrica,Alta Sísmisidad,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33597.6,29806.62,31004.68,29050.31,30823.11,32447.08,34937.36,34789.7,32984.64,27725.26,22338.9,34684.1,34129,28745,19588,32712,33433,34353,37471,36707,35562,22691,33317,38455,38798,35552,35839,34408,29882,37764,38838,37662,37461,31594,35923,37310,36215.7,31418.9,35653.4,32789,23424.8,33236.6,37609.2,37334.3,36005.8,36879,30937.2,32379.7,31286.2,27166.8,29647.9,28340.8,26356,32094.5,34269.4,36126.3,33587.6,35099.9,34025.9,35526.9,30950.3,31962.8,33490.9,31626.4,27214.7,34850.1,37689.52,36533.36,35474.73,36687.47,35482.16,35258.17,33063.08,28985.62,31212.07,29896.55,28406.68,31545.74,36763.6,37137.57,30156.06,36520.87,36317.88,35102.12,34842.72,29944.99,32160.86,30600.76,29280.92,29750.05,34716.45,35124.06,34121.57,27948.79,33684.62,33920.74,35509.42,35457.38,34136.47,30973.21,28226.47,32791.5,39891.72,40498.68,41151.03,43226,41407.43,40908.09,37909.32,34008.01,32275.36,23833.24,26027.62,25423.03,26697.38,26536.04,25889.67,26989.23,26135.35,26782.38,27003.13,25288.56,26833.45,25492.64,24787.73,30808.62,30353.77,28271.31,26365.81,25468.55,29790.68,34269.14,33518.22,27175.31,15354.2,14477.97,30146.42,32026.46,39944.13,37713.04,32055.16,40716.72,38325.49,42189.68,
null,Necaxa,10,109,0.5,20.21708,-97.9872,14Q,605802.41,2235826.86,,,,,Puebla,San Juan Galindo,,,,,,,,,CFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25128.88,13212.98,8988.65,10923.75,11496.54,8078.67,15225.39,39150.35,56925.83,59913.62,37399.25,39467.87,23883.6,22451.28,23062.56,22237.44,21886.08,25807.2,22443.6,31968.48,53725.44,49456.08,25721.28,24985.54,18189.94,19407.79,16577.8,14803.92,16535.96,11265.77,19013.12,37495.49,50723.5,45726.79,37025.4,36076.76,27264.17,22910.37,23248.59,14301.94,21772.42,20613.58,25942.29,42105.98,49902.07,61195.26,48907.01,46783.49,36200.4,28262.64,24845.76,6863.76,22351.68,23710.8,27014.88,26614.32,47417.04,53063.52,43432.32,38863.68,33341.28,26530.32,16731.36,22530.48,18753.36,26141.76,47930.64,49634.4,51708.96,55665.6,54036.72,41169.6,27567.6,23899,24886,9691,15632,21192,25890,32872,45912,28608,27648,28569.6,9523,14834,18620,18524,24500,16025,39032.11,47370.28,58904.26,51721.28,27643.71,22280.61,22411.56,14749.12,15754.31,15049.28,37861.88,27244.63,44191.6,56718.46,58700.55,51360.09,12294.44,26181.75,15563.64,6661.65,14549.89,23410.09,43137.11,46212.94,20424.65,56880.11,71555.73,33416.58,20935.5,29264.37,13908.18,12958.66,14551.64,8837.68,9613.15,38613.99,47294.24,50368.67,54194.51,58269.82,56054.04,53760.06,
Miguel Hidalgo (Mahone),27 De Septiembre (El Fuerte),3,59.4,0.38,26.50931,-108.5802,12R,741197.25,2933823.68,Río Fuerte,Río Fuerte 2,Pacífico Norte,Sinaloa,Sinaloa,El Fuerte,Noroeste,81,Materiales graduados,Flexibletierra y/o enrocamiento,2921,,Generación eléctrica,Baja Sísmicidad,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25778,22856,24962,20783,15599,10547,6530,6266,17388,24033,21233,13253,14932,11557,12559,6782,1253,0,610,2325,6533,17793,22484,14048,7254,13306,15904,11032,545,0,0,0,7828,23249,13892,16598,27715,14793,43021,40151.45,27431.77,16938.41,20578.96,25619.1,32983.13,40892.08,35706.2,25464.83,36105.32,36732.69,38624.39,31858.76,25342.23,16298.73,8414.34,5716.04,25578.31,39489.61,32932.62,26214.24,34255.19,38967.27,44708.52,41007.06,31974.26,21474.6,10762.79,9530.57,15954.38,41357.88,37042.01,24636.47,45286.03,40925.52,44684.54,43537.45,39655.02,25127.96,8904.56,29217.08,43718.33,40695.31,36352.61,41837.18,40806.54,39167.76,44034.76,37924.17,31631.58,18082.32,5768.63,7026.43,31673.65,29062.6,27598.2,37093.75,35877.01,32969.88,44075.23,39183.03,38865.82,25594.75,7917.92,7701.21,25443.58,41971,37369.89,26255.48,43104.75,38074.87,41295.64,40774.27,36112.32,28514.02,4486.11,3829.65,22056.07,33603.41,21047.85,12717.41,17686.47,22350.98,16646.68,355.57,,,0,834.45,10372.25,22770.23,19239.77,20916.09,23552.81,16715.94,4688.01,0,0,0,0,556.27,7312.49,31125.56,18819.42,16247.51,
Presidente Plutarco Elias Calles,Plutarco Elias Calles  (El Novillo),3,135,0.46,28.97661,-109.64194,12R,632280.99,3206437.22,Río Yaqui,Río Yaqui 1,Noroeste,Sonora Sur,Sonora,Soyopa,Noroeste,133.8,Concreto,Rígida Arco Boveda,2950,,Generación eléctrica,Baja Sísmicidad,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24735.7,36138.6,30384.6,12368.9,2041.3,6916,6886.7,14298.9,5216.8,14903.1,42187.5,26602.8,19197,15725,14235,717,709,1142,1081,1462,237,1276,730,1415,4796,5509,12616,2008,715,1123,1050,17910,9086,61485,34026,23546,16267.53,12947.08,8448.02,5115.33,5668.99,31402.89,72401.8,99181.17,51087.72,41132.66,31423.35,30194.28,34435.17,25382.12,30693.04,12092.57,1726.11,1130.91,26277.3,52437.05,54802.28,33566.54,14485.68,39542.18,49374.97,43380.43,68198.3,2255.55,1067.28,24834.61,35613.74,55838.97,76603.99,40427.24,25527.19,37109.55,38827.89,33842.04,32597.53,10409.08,7313.82,21577.23,38147.89,100374.8,97439.6,41941.72,15327.35,9004.08,34191.06,39736.66,14733.74,29856.88,38323.62,33676.47,60494.37,56722.04,53147.54,40855.92,17682.26,14631.28,32443.84,90924.85,26091.72,30176.99,62035.52,65272.71,90560.89,82850.8,88846.61,48223,19468.4,10585.99,37368.49,43963.65,17317.82,17283.69,23637.08,51430.58,61922.27,78885.02,52545.78,15347.47,6525.92,28276.2,6790.5,7108.28,15005.47,20456.27,35384.69,52603.85,47542.5,72064.3,86471.99,21795.98,4212.05,193.44,0.02,2428.84,7787.13,7592.89,5399.55,29174.86,94193.75,71614.26,74789.13,73897.51,47757.13,22544.89,
Bacurato,Bacurato (Pdte. Gustavo Diaz Ordaz) ,2,92,0.31,25.85615,-107.91117,13R,208144.85,2862893.1,Río Sinaloa,Río Sinaloa 1,Pacífico Norte,Sinaloa,Sinaloa,Sinaloa de  Leyva,Noroeste,116,Materiales graduados,Flexibletierra y/o enrocamiento,1859.8,,Generación eléctrica,Baja Sísmicidad,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29977,27365,31506,5698,0,,0,261.04,4076,24893.96,27399,15614,9564,0,0,0,0,0,0,0,237,12905,34762,15154,8235,25720,27236,8683,0,0,0,0,0,25861,15821,18214,41057.73,31916.83,64729.42,46500.07,22094.44,11595.07,7557.74,36934.4,22596.17,47738.43,48584.68,22019.51,34882.25,36284.77,46996.75,32441.63,9617.82,4015.27,14.2,28.91,5746.21,27440.93,24998.32,28253.18,28383.3,40519.83,60577.64,37188.74,17609.65,7910.8,854.02,96.14,1846.54,30273.68,49059.14,4452.91,28517.42,37095.05,58852.12,49509.63,23416.41,5277.71,0,0.45,356.61,20030.89,49139.04,30858.05,43779.32,53334,57381.41,36859.99,21838.72,5088.82,263.08,0.1,11936.62,14541.3,38146.65,32897.35,35497.74,35907.92,56743.71,35741.35,21595.49,6126.64,389.46,838.1,3553.46,43018,51300.88,17915.56,37026.21,25582.41,34126.22,39717.13,54025.13,6382.23,4.95,0,2067.16,27034.03,7107.67,0,0,0,0,0,0,0,0,0,3617,13060.32,25100.68,22518.95,22721.24,23533.44,26431.8,8772.8,0,0,0,0,1441.14,29976.99,25246.16,24787.65,
Jicalán,El Cóbano,2,60,0.56,19.17539,-102.01032,13Q,814445.08,2122930.75,Río Atuto,Río Cupatitzio,Balsas,Balsas,Michoacán,Gabriel Zamora,Occidental,12,Concreto,Rígida de Gravedad,0.1,,Generación eléctrica,Alta Sísmisidad,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19293.01,17006.95,9180.61,15932.02,15488.34,17990.74,19076.42,13500.86,18499.7,24336.54,21843.2,18161.25,17634,16054,17802,16669,16900,20885,25670,25745,25530,27088,11514,19542,19250,18716,18777,19073,18359,23394,24951,24365,12605,28141,22250,20090,19359,17944.74,20491.26,7671.51,17029.94,18770.7,22998.08,24840.54,12723.73,17363.95,18122.37,17974.75,17492.4,14710.15,16029.5,15132.7,15342.34,18582.34,20046.7,20021.72,12199.04,28146.68,24284.95,20044.9,19851.26,17317.32,19188.48,13670.28,16758.6,20184.28,24203.45,24301.58,9072,24590.99,19766.7,19720.37,18489.59,16138.58,17952.91,17060.38,16286.92,19355.7,27878.57,25677.2,26471.9,22621.06,17487.62,18062.55,19280.81,10801.89,19420.82,18358.69,18553.59,16728.19,20260.25,24482.86,26503.05,25396.9,19220.25,19072.48,20278.53,21656.38,19488.76,18322.54,18037.38,16084.03,18938.06,19214.28,18532.85,25012,25623.76,22974.83,21072.03,15950.72,17283.93,18875.6,18116.84,16449.01,19700.94,15193.99,17234.05,17526.64,0,0,0,2357.05,18688.06,16473.54,17849.61,17669.79,21346.24,11968.88,21218.34,22397.42,21045.52,19959.38,19400.04,16001.45,17175.1,15470.38,15918.27,10095.61,26942.84,24786.08,28875.59,31309.5,27237.99,24816.83,
Presidente Adolfo Lopez Mateos,Humaya,2,90,0.22,25.1005,-107.38799,13R,259161.1,2778406.13,Río Humaya,Río Humaya,Pacífico Norte,Sinaloa,Sinaloa,Badiraguato,Noroeste,105.5,Materiales graduados,Flexibletierra y/o enrocamiento,3086,,Generación eléctrica,Baja Sísmicidad,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15362,14727,18852,10914,,,,53,764,13193,19313,10467,1818,0,0,0,0,0,177,789,777,6884,26284,18779,9008,20998,27290,24932,8456,2297,654,33,775,22191,8640,15544,33314.74,31676.67,65026.44,53936.86,26761.86,14756.68,6738.28,27862.5,14046.24,37999.49,55036.52,26414.3,33622.72,41639.8,53021.73,53066.16,26446.44,10635.49,3031.52,1679.69,9529.56,13799.17,7253.12,23715.28,28890.55,30335.06,39569.89,35947.23,16977.95,8240.39,3220.76,874.27,1322.21,23804.46,37128.67,13871.77,24842.62,38878.48,49959.48,46894.64,34278.47,7039.41,3005.02,1666.67,10160.76,27230.24,38348.93,27077.61,38845.61,37946.69,55982.82,44409.26,22056.66,10273.58,3641.25,1953.82,14160.2,27761.78,33940.94,27486.72,37310.49,35515.76,43330.06,40055.95,24042.56,11903.36,5552.69,2542.03,2659.69,29954,42639.37,19832.72,31995.27,29724.75,28552.57,33478.79,35777.48,23432,579.47,1690.21,3756.81,22813.34,16172.42,11658.77,7118.77,7422.52,3439.58,0,0,0,3.5,644.28,2427.18,9657.55,14322.13,15272.46,12635.99,14894.39,20149.74,11609.75,0,0,123.2,1211.94,589.65,11766.37,9217.98,17842.9,
La Soledad,Adolfo Ruiz Cortines (Mazatepec),4,220,0.39,19.96097,-97.44658,14Q,662529.29,2207903.21,Río Apulco,Río Tecolutla,Golfo Centro,Norte de Veracruz,Puebla,Tlatlauquitepec,Oriental,91.5,Concreto,Rígida de Arco,45.9,,Generación eléctrica,Baja Sísmisidad,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35552.24,31990.01,28042.68,22970.31,23705.11,31840.92,55372.79,41488.56,81374.16,83534.2,67441.63,35814.56,28804,25071,20968,23458,19039,29206,40842,49071,77024,120679,61765,52080,32947,21716,24085,39556,45626,60678,53499,57884,77231,100902,34400,28289,27862.5,20322.01,11395.31,17658.79,6714.27,44037.22,45297.47,73723.89,63446.5,44474.56,40640.37,19050.7,22991.59,17455.42,34389.28,24980.94,27068.9,0,0,6440.3,72304.15,76230.47,51993.84,72550.41,29984.63,27730.22,22796.16,19369.49,0,5840.07,32094.17,68804.83,96489.83,106935.7,36571.8,56177.81,58101.19,25672.53,29204.7,33162.75,29019.37,50580.39,72736.79,57685.48,109219.1,107326.2,57529.35,28996.23,29470.48,36234.47,36504.29,23339.51,26720.43,27814.59,44912.67,39174.31,100424.9,96388.46,41815.83,46068.82,41690.4,32043,26453.4,11043.21,0,17390.5,103344.3,97063.66,144070.9,90309,82176.81,34474.13,37980.18,25341.88,36247.32,31382.97,29611.98,35537.99,119742.4,95159.78,96804.59,71236.78,51470.67,47388.82,54511.6,38547.42,32823.08,29981.11,24182.48,49966.94,81370.34,116044,64056.91,33490.71,21593.42,26090.8,32033.03,23162.06,24882.21,20584.31,33583.85,51001.27,50440.39,60156.02,152261.6,117845.7,103980.6,43283.92,
El Cajón,Leonardo Rodriguez Alcaine,2,750,0.11,21.42808,-104.45135,13Q,556844.49,2369585.43,Río Santiago,Río Santiago 4,Lerma Santiago Pacifico,Lerma - Santiago,Nayarit,Santa María del Oro,Occidental,186,Enrocamiento con cara de concreto,Flexibletierra y/o enrocamiento,2282.13,,Generación eléctrica,Media Sísmisidad,CFE y CONAGUA,381.43,382.71,378.77,377.54,377.08,372.22,378.05,386.92,382.45,387.76,388.39,386.84,387.41,383.86,378,370.98,367.57,364.32,367.47,382.42,391.24,386.16,385.21,384.66,384.2,382.92,378.21,374.21,369.71,364.03,363.51,358.85,363.74,379.11,383.68,384.84,386.78,387.46,387.47,382.86,381.64,369.5,363.7,370.75,375.64,385.32,386.2,386.73,387.7,386.12,382.91,381.15,381.55,376.96,365.4,366.51,369.12,373.77,374.4,374.52,375.64,377.36,380.45,383.04,381.05,372.72,360.97,362.72,360.01,360.64,360.84,364.29,367.43,368.17,367.96,367.81,364.68,357.04,353.41,355.94,359.36,368.96,375.85,378.91,380.23,382.4,381.35,384.5,384.34,382.75,380.14,378.7,380.56,381.13,381.78,384.27,385.51,387.39,388.87,388.97,382.87,379.09,373.85,382.53,380.92,380.52,381.32,381.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68894.41,32099.48,32982.81,85184.14,562.26,191688,352252.6,112733.9,55935.9,43411.3,13460.6,74832.8,110160,95994.2,52636.8,61289.2,39166.9,291040.2,398104.7,520488.4,118260,44571,21960,35950,85706,83814,86117,87716,37862,129456,19723,1691,1348,0,0,6775,183539,105152,53668,173362.7,96136.76,152898.2,278433.8,111046.1,59591,10328.9,647.6,56658.8,74944.9,38842.2,21197.1,92052.2,156070.5,64912.2,61128.6,27492.2,8059.8,2332.3,429.4,170.7,117.4,3646.9,34850.7,105488,125050.6,5602.7,48315.1,7719.5,2393.5,20.9,2392.4,0.2,676.2,0,31607.3,83464.1,117470.5,25856.7,55399.5,2469.4,3057,3711.7,1882.6,
Aguaprieta,Valentín Goméz Farias,2,240,0.11,20.77281,-103.33467,13Q,673354.25,2297901.48,San Juan De Dios,Río Santiago 1,Lerma Santiago Pacífico,Lerma - Santiago,Jalisco,Zapopán,Occidental,14,Materiales graduados ,Flexible tierra y/o enrocamiento,1.64,,Generación eléctrica,Media Sísmisidad,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15343.4,13789.3,13862.3,12440.4,15483.3,19255.3,27997.7,25262,23745,18212.1,17508.6,15238.6,15038,13753,10109,10411,12927,21503,27592,25221,27668,19998,10355,15819,17669,12734,15605,14612,16608,32094,23936,28893,32129,21172,16513,17388,17943.4,12569,0,0,5057.6,17113.66,31026.1,25933.9,22751.3,18740.5,15081.7,16494.8,16104.3,12189.4,15803.4,14446.4,15333.8,21281.1,24125.7,31271.5,24268.3,22070.1,17230.9,17205.8,16221.7,14242,15041,14678.8,15109.9,21251.7,25696.4,26143.1,24237.5,19696.3,14691,16994,15858.4,14819,15039.3,14310.1,15456.9,28349.68,30061.3,28321.4,28324.3,20404.24,15128.2,16835.2,16390.5,14721,15880,14166.9,16419.9,20268.5,23972.7,2626.5,23231.7,18046.9,14754.9,16185.6,17287.3,20223.5,15086.4,14785.7,15126.7,23161.7,33367.6,25091.6,26048,16711,17022.5,17298.6,17314.8,15862,15982.8,14410.4,15143.7,19806.9,27680.9,24912.65,19095.53,20603.08,15782.37,16079.73,9270.43,17929.29,15526.04,14685.93,14626.35,20585.78,27282.74,27475.81,20288.03,17507.42,14621.62,15080.5,17799.7,13769.49,14598.17,13187.46,16037.66,19208.96,25963.71,24161.39,28593.3,20127.01,16009.78,19026.21,
null,Chilapán,4,26,0.57,18.41922,-95.14853,15Q,273052.13,2007914.72,Canal de conducción de Tepetapan,Río San Juan,Golfo Centro,Papaloapan,Veracruz,San Andres Tuxtla,Oriental,3.3,Mampostería,Rígida de Gravedad,0.03,,Generación eléctrica,Baja Sísmisidad,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8968.45,6500.12,6828.2,5484.23,1965.51,8830.54,11431.89,8917.48,11724.19,7070.85,12303.74,10764.36,3631,4161,3731,2372,1223,2654,6385,7814,9557,15157,15182,16958,13388,9093,4543,3865,4373,11181,5147,7680,15405,13823,12522,11770,11754.61,10534.37,3627.72,2907.86,2971.04,6823.19,16478.12,11404.67,15267.59,16166.54,15248.56,10729.76,10649.06,10171.1,8703.48,6050.51,5497.92,7008.07,13547.7,17295.87,16911.86,16716.66,16798.35,17555.1,16023.57,15781.52,10545.2,6051.49,3272.84,5351.47,0.02,6772.67,9039.64,12407.74,14230.44,16326.46,16137.45,16073.23,11454.85,3517.39,972.53,6983.43,8903.58,8073.91,11414.81,17471.17,17559.89,13942.49,10028.12,8713.5,8927.82,1488.54,2912.17,2749.52,4546.26,3952.33,10671.23,17652.03,17050.74,18107.96,16070.82,9502.09,6102.2,5070.82,2556.04,2464.52,5443.18,17498.02,17454.56,18307,17652.81,12311.21,10515.81,9683.71,6676.17,4301.79,2409.91,2328,3083.57,13376.04,15435.55,17815.08,15611.22,17188.98,17244.88,13457.93,6796.64,4986.38,6481.3,7789.44,5980.87,10161.01,10443.28,18182.17,10929.93,6795.04,12013.08,8512.63,7049.21,3923.57,3829.05,7611.01,5900.62,4316.35,15283.81,15203.36,16640.22,18592.98,
