Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,641059,-,-,-,19.29,-99.1,-6,2237,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2014,1,1,0,30,5,0,0,0,0,4,0,0,0,0,100.0,175.63,0.12892000377178192,790.0,1.301,344.6,0.6000000000000001
2014,1,1,1,30,5,0,0,0,0,4,0,0,0,0,100.0,167.74,0.12892000377178192,780.0,1.2790000000000001,0.5,0.6000000000000001
2014,1,1,2,30,4,0,0,0,0,4,0,0,0,0,100.0,154.09,0.12892000377178192,780.0,1.258,15.3,0.7000000000000001
2014,1,1,3,30,4,0,0,0,0,4,0,0,0,0,100.0,140.3,0.12892000377178192,780.0,1.2510000000000001,25.0,0.8
2014,1,1,4,30,4,0,0,0,0,4,0,0,0,0,100.0,126.55,0.12892000377178192,780.0,1.2630000000000001,31.0,0.9
2014,1,1,5,30,4,0,0,0,1,4,0,0,0,0,100.0,112.96000000000001,0.12892000377178192,780.0,1.29,34.300000000000004,0.8
2014,1,1,6,30,4,0,0,0,0,4,0,0,0,0,100.0,99.59,0.12892000377178192,790.0,1.326,34.0,0.6000000000000001
2014,1,1,7,30,6,20,325,40,3,4,20,325,4,40,88.8,86.60000000000001,0.12892000377178192,790.0,1.369,30.6,0.7000000000000001
2014,1,1,8,30,9,52,742,255,3,6,52,742,4,255,82.01,74.19,0.12892000377178192,790.0,1.412,36.1,1.0
2014,1,1,9,30,12,68,886,474,3,6,68,886,4,474,71.46000000000001,62.730000000000004,0.12892000377178192,790.0,1.45,47.2,1.3
2014,1,1,10,30,15,77,951,652,1,6,77,951,0,652,57.59,52.84,0.12892000377178192,790.0,1.484,56.2,1.6
2014,1,1,11,30,17,84,981,771,0,6,84,981,0,771,50.13,45.58,0.12892000377178192,790.0,1.5230000000000001,58.1,1.7000000000000002
2014,1,1,12,30,18,91,983,818,0,6,91,983,0,818,46.87,42.32,0.12892000377178192,780.0,1.566,58.300000000000004,1.8
2014,1,1,13,30,18,92,970,791,0,6,92,970,0,791,46.67,43.96,0.12892000377178192,780.0,1.607,59.2,1.7000000000000002
2014,1,1,14,30,17,91,935,692,7,6,243,566,0,607,49.85,50.03,0.12892000377178192,780.0,1.645,59.7,1.6
2014,1,1,15,30,16,86,863,528,4,6,233,66,0,267,53.07,59.17,0.12892000377178192,780.0,1.676,59.900000000000006,1.4000000000000001
2014,1,1,16,30,15,72,730,320,4,6,149,138,0,195,56.85,70.19,0.12892000377178192,780.0,1.688,63.400000000000006,0.9
2014,1,1,17,30,13,41,430,99,7,8,51,71,4,60,72.69,82.34,0.12892000377178192,780.0,1.678,67.7,0.30000000000000004
2014,1,1,18,30,11,0,0,0,7,8,0,0,0,0,81.85000000000001,95.16,0.12892000377178192,780.0,1.6500000000000001,87.30000000000001,0.2
2014,1,1,19,30,11,0,0,0,4,7,0,0,0,0,79.26,108.42,0.12892000377178192,780.0,1.615,69.60000000000001,0.2
2014,1,1,20,30,10,0,0,0,0,7,0,0,0,0,81.76,121.95,0.12892000377178192,780.0,1.582,26.5,0.2
2014,1,1,21,30,10,0,0,0,0,6,0,0,0,0,78.79,135.66,0.12892000377178192,780.0,1.553,1.2000000000000002,0.1
2014,1,1,22,30,9,0,0,0,0,6,0,0,0,0,82.19,149.46,0.12892000377178192,780.0,1.5250000000000001,227.60000000000002,0.30000000000000004
2014,1,1,23,30,8,0,0,0,0,5,0,0,0,0,86.77,163.21,0.12892000377178192,780.0,1.504,202.70000000000002,0.5
2014,1,2,0,30,8,0,0,0,0,5,0,0,0,0,86.15,175.64000000000001,0.12892000377178192,780.0,1.494,196.5,0.6000000000000001
2014,1,2,1,30,7,0,0,0,0,5,0,0,0,0,92.15,167.86,0.12892000377178192,780.0,1.499,190.4,0.7000000000000001
2014,1,2,2,30,6,0,0,0,0,5,0,0,0,0,98.97,154.21,0.12892000377178192,780.0,1.5210000000000001,186.70000000000002,0.6000000000000001
2014,1,2,3,30,6,0,0,0,0,5,0,0,0,0,99.59,140.4,0.12892000377178192,780.0,1.552,184.0,0.5
2014,1,2,4,30,6,0,0,0,0,6,0,0,0,0,100.0,126.65,0.12892000377178192,780.0,1.58,186.60000000000002,0.5
2014,1,2,5,30,6,0,0,0,0,6,0,0,0,0,100.0,113.04,0.12892000377178192,780.0,1.598,193.10000000000002,0.5
2014,1,2,6,30,6,0,0,0,4,6,0,0,0,0,100.0,99.67,0.12892000377178192,780.0,1.613,196.5,0.5
2014,1,2,7,30,8,24,163,33,0,6,24,163,0,33,92.52,86.67,0.12892000377178192,780.0,1.624,197.70000000000002,1.0
2014,1,2,8,30,11,81,563,234,1,7,81,563,0,234,81.23,74.24,0.12892000377178192,790.0,1.622,206.8,1.5
2014,1,2,9,30,13,108,745,450,3,7,205,291,0,338,70.73,62.76,0.12892000377178192,790.0,1.612,219.4,1.6
2014,1,2,10,30,15,130,820,626,3,7,303,235,0,445,59.0,52.84,0.12892000377178192,790.0,1.611,226.8,1.5
2014,1,2,11,30,16,148,849,742,4,6,338,62,0,381,53.36,45.54,0.12892000377178192,780.0,1.623,228.5,1.2000000000000002
2014,1,2,12,30,17,109,946,810,3,6,372,344,0,627,48.550000000000004,42.230000000000004,0.12892000377178192,780.0,1.639,227.5,1.1
2014,1,2,13,30,17,121,912,779,7,5,305,543,0,696,47.15,43.84,0.12892000377178192,780.0,1.657,223.4,1.0
2014,1,2,14,30,17,127,853,677,3,5,306,359,0,538,46.43,49.89,0.12892000377178192,780.0,1.682,220.3,1.2000000000000002
2014,1,2,15,30,16,141,708,506,3,5,228,351,0,409,49.47,59.03,0.12892000377178192,780.0,1.71,218.5,1.4000000000000001
2014,1,2,16,30,14,126,497,296,3,5,145,71,0,170,56.86,70.06,0.12892000377178192,780.0,1.73,219.8,1.8
2014,1,2,17,30,12,61,172,84,4,6,61,172,4,84,71.26,82.2,0.12892000377178192,780.0,1.738,222.60000000000002,2.0
2014,1,2,18,30,10,0,0,0,4,6,0,0,0,0,80.4,95.03,0.12892000377178192,780.0,1.73,225.10000000000002,2.3000000000000003
2014,1,2,19,30,8,0,0,0,4,6,0,0,0,0,89.99,108.29,0.12892000377178192,790.0,1.703,226.5,2.5
2014,1,2,20,30,7,0,0,0,3,5,0,0,0,0,92.49,121.83,0.12892000377178192,790.0,1.659,227.5,2.5
2014,1,2,21,30,6,0,0,0,4,4,0,0,0,0,93.0,135.54,0.12892000377178192,790.0,1.607,228.8,2.4000000000000004
2014,1,2,22,30,5,0,0,0,8,4,0,0,0,0,93.49,149.35,0.12892000377178192,790.0,1.555,229.9,2.2
2014,1,2,23,30,4,0,0,0,4,3,0,0,0,0,95.34,163.12,0.12892000377178192,790.0,1.508,230.9,1.9000000000000001
2014,1,3,0,30,4,0,0,0,4,2,0,0,0,0,91.61,175.66,0.12892000377178192,780.0,1.468,231.4,1.7000000000000002
2014,1,3,1,30,3,0,0,0,4,2,0,0,0,0,95.5,167.99,0.12892000377178192,780.0,1.427,231.8,1.5
2014,1,3,2,30,3,0,0,0,4,2,0,0,0,0,93.45,154.32,0.12892000377178192,780.0,1.383,232.3,1.2000000000000002
2014,1,3,3,30,3,0,0,0,3,1,0,0,0,0,91.58,140.5,0.12892000377178192,780.0,1.338,233.70000000000002,0.9
2014,1,3,4,30,2,0,0,0,3,1,0,0,0,0,96.9,126.74000000000001,0.12892000377178192,780.0,1.295,238.4,0.7000000000000001
2014,1,3,5,30,2,0,0,0,4,1,0,0,0,0,96.54,113.13,0.12892000377178192,780.0,1.264,246.9,0.5
2014,1,3,6,30,2,0,0,0,4,1,0,0,0,0,97.16,99.75,0.12892000377178192,780.0,1.241,259.0,0.4
2014,1,3,7,30,4,24,179,34,4,1,16,0,4,16,86.45,86.73,0.12892000377178192,790.0,1.223,274.0,0.4
2014,1,3,8,30,8,70,646,244,3,3,108,34,4,117,71.06,74.29,0.12892000377178192,790.0,1.21,287.2,0.4
2014,1,3,9,30,12,84,841,469,1,3,84,841,0,469,56.93,62.78,0.12892000377178192,790.0,1.203,338.8,0.5
2014,1,3,10,30,15,91,927,652,0,3,91,927,0,652,46.6,52.83,0.12892000377178192,790.0,1.207,21.8,0.6000000000000001
2014,1,3,11,30,16,96,966,774,0,3,96,966,0,774,43.39,45.49,0.12892000377178192,780.0,1.227,59.0,0.8
2014,1,3,12,30,17,97,982,825,0,3,97,982,0,825,40.51,42.14,0.12892000377178192,780.0,1.26,79.7,0.9
2014,1,3,13,30,17,99,969,799,0,3,99,969,0,799,40.56,43.72,0.12892000377178192,780.0,1.3,88.4,1.0
2014,1,3,14,30,17,98,931,699,0,3,98,931,0,699,40.76,49.75,0.12892000377178192,780.0,1.344,91.4,1.1
2014,1,3,15,30,16,91,861,536,4,3,105,0,0,105,43.69,58.89,0.12892000377178192,780.0,1.387,94.10000000000001,1.0
2014,1,3,16,30,14,79,718,325,0,3,79,718,0,325,50.730000000000004,69.91,0.12892000377178192,780.0,1.422,102.2,0.7000000000000001
2014,1,3,17,30,11,46,402,102,0,5,46,402,0,102,69.32000000000001,82.06,0.12892000377178192,780.0,1.439,123.30000000000001,0.30000000000000004
2014,1,3,18,30,9,0,0,0,1,6,0,0,0,0,82.56,94.9,0.12892000377178192,780.0,1.431,170.0,0.1
2014,1,3,19,30,8,0,0,0,0,5,0,0,0,0,87.15,108.17,0.12892000377178192,780.0,1.4060000000000001,302.8,0.2
2014,1,3,20,30,8,0,0,0,0,5,0,0,0,0,84.44,121.71000000000001,0.12892000377178192,780.0,1.357,335.90000000000003,0.4
2014,1,3,21,30,7,0,0,0,0,5,0,0,0,0,87.73,135.43,0.12892000377178192,790.0,1.284,359.20000000000005,0.6000000000000001
2014,1,3,22,30,6,0,0,0,0,4,0,0,0,0,92.60000000000001,149.24,0.12892000377178192,780.0,1.207,19.5,0.7000000000000001
2014,1,3,23,30,6,0,0,0,0,4,0,0,0,0,91.61,163.03,0.12892000377178192,780.0,1.1320000000000001,36.9,0.8
2014,1,4,0,30,6,0,0,0,0,4,0,0,0,0,90.81,175.68,0.12892000377178192,780.0,1.056,50.6,0.9
2014,1,4,1,30,5,0,0,0,0,4,0,0,0,0,96.58,168.12,0.12892000377178192,780.0,0.979,61.5,0.9
2014,1,4,2,30,5,0,0,0,0,4,0,0,0,0,95.85000000000001,154.43,0.12892000377178192,780.0,0.909,74.3,0.8
2014,1,4,3,30,5,0,0,0,0,4,0,0,0,0,94.83,140.6,0.12892000377178192,780.0,0.86,82.5,0.8
2014,1,4,4,30,4,0,0,0,0,4,0,0,0,0,100.0,126.83,0.12892000377178192,780.0,0.8220000000000001,91.2,0.7000000000000001
2014,1,4,5,30,4,0,0,0,0,3,0,0,0,0,98.58,113.21000000000001,0.12892000377178192,780.0,0.79,101.10000000000001,0.6000000000000001
2014,1,4,6,30,4,0,0,0,0,3,0,0,0,0,97.21000000000001,99.82000000000001,0.12892000377178192,780.0,0.763,111.2,0.5
2014,1,4,7,30,6,18,385,40,0,3,18,385,0,40,84.73,86.78,0.12892000377178192,790.0,0.739,119.10000000000001,0.6000000000000001
2014,1,4,8,30,11,46,808,264,0,4,46,808,0,264,63.88,74.33,0.12892000377178192,790.0,0.718,81.80000000000001,1.0
2014,1,4,9,30,14,58,949,492,0,2,58,949,0,492,45.57,62.800000000000004,0.12892000377178192,790.0,0.706,83.2,1.4000000000000001
2014,1,4,10,30,16,65,1012,677,0,0,65,1012,0,677,35.160000000000004,52.82,0.12892000377178192,790.0,0.714,93.10000000000001,1.6
2014,1,4,11,30,17,70,1039,799,0,0,70,1039,0,799,32.45,45.44,0.12892000377178192,780.0,0.746,99.7,1.7000000000000002
